Ingredient,Rating,Description,Categories,Further information
"1, 2-Hexanediol",Good,"A preservative belonging to a class of antimicrobial agents known as higher molecular glycols.","Preservatives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/1-2-hexanediol
"10-Hydroxydecanoic Acid",Good,"A synthetic ingredient that functions as a skin-conditioning and occlusive agent.","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/10-hydroxydecanoic-acid
"Acacia farnesiana extract",Poor,"A fragrant extract from a type of acacia tree. There is no research showing it to have any benefit...","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/acacia-farnesiana-extract
"Acacia senegal",Good,"Herb that can have anti-inflammatory properties, but is used primarily as a thickening agent.","Anti-Irritants, Plant Extracts, Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/acacia-senegal
"açai",Best,"Pronounced ""ah-sigh-ee"", this small berry with a deep purple color is a potent source of...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/acai
"Accutane",Best,"Trade name for the drug with the active ingredient isotretinoin. Acutane as a brand name is no...","Prescription Drugs, Vitamins",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/prescription-drugs/accutane
"acerola fruit extract",Good,"Acerola contains vitamin C. However, the dry acerola fruit and powder are unlikely to be a good...","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/acerola-fruit-extract
"acetic acid",Poor,"Acid found in vinegar, some fruits, and human sweat. It can be a skin irritant and drying to skin,...","Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/irritants/acetic-acid
"acetone",Poor,"Strong solvent that is used in Nail Polish removers.","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/acetone
"acetyl carnitine HCL",Best,"See L-carnitine","Antioxidants",
"acetyl glucosamine",Best,"Amino acid sugar and primary constituent of mucopolysaccharides and hyaluronic acid. As such, it...","Miscellaneous, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/acetyl-glucosamine
"acetyl glyceryl ricinoleate",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/acetyl-glyceryl-ricinoleate
"acetyl hexapeptide-8",Good,"A synthetically-derived peptide that is being used in a wide range of skin care and makeup...","Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/cell-communicating-ingredients/acetyl-hexapeptide-8
"acetyl octapeptide-3",Good,"A synthetic peptide that is based around octapeptide-3, a peptide complex composed of the amino acids aspartic acid, glutamic acid, glutamine, and methionine...","Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/cell-communicating-ingredients/acetyl-octapeptide-3
"acetyl tributyl citrate",Average,"Related to citric acid and used as a plasticizer, most commonly in nail polish and nail-hardening...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/acetyl-tributyl-citrate
"acetyl tyrosine",Good,"An amino acid complex that functions as a skin-conditioning agent. There is no research proving it...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/acetyl-tyrosine
"acetylated castor oil",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/acetylated-castor-oil
"acetylated hydrogenated cottonseed glyceride",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/acetylated-hydrogenated-cottonseed-glyceride
"acetylated lanolin",Good,"Emollient derived from lanolin.","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/acetylated-lanolin
"acetylated lanolin alcohol",Good,"An ester of lanolin alcohol uses as an emollient and occlusive agent. An ester is a compound formed...","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/acetylated-lanolin-alcohol
"acetylated palm kernel glycerides",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/acetylated-palm-kernel-glycerides
"acetylsalicylic acid",Best,"Chemical name for aspirin, one of the most widely used anti-inflammatory drugs in the world....","Anti-Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/acetylsalicylic-acid
"Achillea millefolium",Poor,"See yarrow extract","Anti-Irritants, Plant Extracts",
"acid",Average,"Anything with a pH lower than 7 is considered acidic—above 7 is considered alkaline. Water has a pH...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/acid
"acne soap",Poor,"Soaps that often contain anti-bacterial ingredients, and they are often overly drying and...","Antibacterial/Anti-Acne, Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antibacterial-anti-acne/acne-soap
"acrylate",Good,"See film-forming agent","Film-Forming/Holding Agents",
"acrylates copolymer",Good,"See film-forming agent","Film-Forming/Holding Agents",
"acrylates/C10-30 alkyl acrylate crosspolymer",Good,"See film-forming agent","Film-Forming/Holding Agents",
"acrylates/dimethicone copolymer",Good,"A silicone-enhanced film-forming agent. Also functions as a binding agent so products adhere better...","Silicones, Film-Forming/Holding Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/silicones/acrylatesdimethicone-copolymer
"acrylates/steareth-20 methacrylate copolymer",Good,"A synthetic polymer that blends stearth-20 with one or more forms of methacrylic acid. Functions as...","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/acrylatessteareth-20-methacrylate-copolymer
"Actaea racemosa",Average,"See black cohosh","Plant Extracts",
"active ingredient",Good,"The active ingredients list is the part of a cosmetic, drug, or pharmaceutical ingredient label...","Sunscreen Actives, Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/sunscreen-actives/active-ingredient
"adapalene",Best,"See Differin , retinoids","Prescription Drugs",
"adenine",Good,"Component of DNA that carries genetic information to the cell.","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/adenine
"adenosine",Best,"Yeast-derived ingredient that plays an important cell-signaling role in many bodily processes....","Anti-Irritants, Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/adenosine
"adenosine triphosphate",Best,"An organic compound from adenosine, which is formed by the hydrolysis of yeast nucleic acids. All...","Anti-Irritants, Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/adenosine-triphosphate
"adipic acid/neopentyl glycol/trimellitic anhydride copolymer",Good,"A synthetic polymer.","Film-Forming/Holding Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/film-forming-holding-agents/adipic-acidneopentyl-glycoltrimellitic-anhydride-copolymer
"advanced glycation endproduct",Poor,"Advanced glycation endproducts, also known as AGEs, are caused by the body's major fuel source,...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/advanced-glycation-endproduct
"Aerocarpus santalinus",Poor,"See red sandalwood","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",
"Aesculus hippocastanum",Good,"See horse chestnut extract","Anti-Irritants, Plant Extracts",
"agar",Good,"See algae","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
"Agaricus bisporus extract",Good,"An extract of mushroom that is thought to help regulate skin cell production by inhibiting cell...","Plant Extracts, Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/agaricus-bisporus-extract
"AGE",Poor,"See advanced glycation endproduct","Miscellaneous",
"age spots",Average,"Once referred to as liver spots, these brown skin discolorations are also not related to age, any...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/age-spots
"Agrimonia eupatoria leaf extract",Average,"Research shows this plant extract inhibits the hepatitis b virus and has antioxidant properties....","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/agrimonia-eupatoria-leaf-extract
"AHA",Best,"Acronym for alpha hydroxy acid. AHAs are derived from various plant sources or from milk. However,...","Leave-On Exfoliant",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/leave-on-exfoliant/aha
"Ahnfeltia concinna extract",Good,"See algae","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
"ahnfeltia extract",Good,"See algae","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
"Ajuga turkestanica extract",Average,"The only research about this plant indicates that it may have anabolic steroid properties (Source:...","Plant Extracts, Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/ajuga-turkestanica-extract
"alanine",Good,"See amino acid","Antioxidants",
"Alaria esculenta",Good,"See algae","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
"albumin",Poor,"Found in egg white, and can leave a film over skin. It can constrict skin temporarily, which can...","Film-Forming/Holding Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/film-forming-holding-agents/albumin
"Alchemilla vulgaris",Poor,"Plant with antimicrobial properties. Its high tannin content can cause skin irritation (Source:...","Plant Extracts, Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/alchemilla-vulgaris
"alcloxa",Poor,"More technically known as aluminum chlorhydroxy allantoinate, alcloxa has constricting properties...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/alcloxa
"alcohol",Average,"A group of organic compounds that have a vast range of forms and uses in cosmetics. In some benign...","Absorbent, Surfactants/Detergent Cleansing Agents, Emollients, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/absorbent/alcohol
"Aleurites moluccana seed oil",Best,"See kukui nut oil","Plant Extracts, Antibacterial/Anti-Acne",
"alfalfa extract",Best,"Can be an antioxidant in skin-care products (Source: Journal of Agricultural Food Chemistry,...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/alfalfa-extract
"algae",Good,"Algae are very simple, chlorophyll-containing organisms in a family that includes more than 20,000...","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/algae
"algae extract",Good,"See algae","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
